index	video_path	video	question_id	question	answer	options	correct_answer_index	category
0004	boss-employee/video_132.mp4	boss-employee/video_132	0004-3	Which kind of relationship plays a dominant role in this video?	boss-employee	A. service, B. friends, C. parent-child, D. classmates, E. colleagues, F. boss-employee, G. caregiver-recipient, H. coach-player, I. sports teammates, J. grandparent-child, K. sibling, L. transactional, M. teacher-student, N. couple	F	Relation Inference
0005	boss-employee/video_130.mp4	boss-employee/video_130	0005-1	What will the woman in charge do after they pause the discussion?	She will encourage team members to negotiate their roles and responsibilities effectively.	A. She will ask everyone to leave the room immediately., B. She will encourage team members to negotiate their roles and responsibilities effectively., C. She will propose a team-building retreat for everyone., D. She will schedule a follow-up meeting for next week., E. She will focus on individual performance reviews with each member.	B	Factual Prediction
0005	boss-employee/video_130.mp4	boss-employee/video_130	0005-2	If the team members had a more established rapport, how would the role negotiation likely differ?	They would be more open to negotiating roles.	A. They would be less willing to listen to each other's ideas., B. They would probably avoid discussing their roles altogether., C. They might end up in more conflicts during discussions., D. They would be more open to negotiating roles., E. They would likely remain indifferent to each other's preferences.	D	Counterfactual Prediction
0005	boss-employee/video_130.mp4	boss-employee/video_130	0005-3	Which kind of relationship plays a dominant role in this video?	boss-employee	A. boss-employee, B. sibling, C. friends, D. grandparent-child, E. parent-child, F. couple, G. classmates, H. caregiver-recipient, I. service, J. sports teammates, K. transactional, L. colleagues, M. teacher-student, N. coach-player	A	Relation Inference
0006	boss-employee/video_131.mp4	boss-employee/video_131	0006-1	What is likely to happen after the speaker finishes addressing the group?	The group will engage in discussion or address next steps.	A. The group will immediately leave the room without any further words., B. The group will engage in discussion or address next steps., C. The speaker will begin a completely different presentation., D. Everyone will start checking their phones for messages., E. The group will break into smaller teams for unrelated projects.	B	Factual Prediction
0006	boss-employee/video_131.mp4	boss-employee/video_131	0006-2	How would the atmosphere of the meeting change if everyone was dressed casually?	The atmosphere of the meeting would be more relaxed.	A. The atmosphere of the meeting would be more tense., B. The atmosphere of the meeting would become less productive., C. The atmosphere of the meeting would be more relaxed., D. The atmosphere of the meeting would feel more formal., E. The atmosphere of the meeting would be full of distractions.	C	Counterfactual Prediction
0006	boss-employee/video_131.mp4	boss-employee/video_131	0006-3	Which kind of relationship plays a dominant role in this video?	boss-employee	A. sports teammates, B. sibling, C. grandparent-child, D. parent-child, E. teacher-student, F. classmates, G. transactional, H. service, I. couple, J. friends, K. coach-player, L. colleagues, M. boss-employee, N. caregiver-recipient	M	Relation Inference
0007	boss-employee/video_138.mp4	boss-employee/video_138	0007-1	What is the tone of the man's voice when he initially says, 'Vamos a salir adelante todos juntos'?	Encouraging	A. Encouraging, B. Indifferent, C. Angry, D. Mournful, E. Sarcastic	A	Attitude Inference
0007	boss-employee/video_138.mp4	boss-employee/video_138	0007-2	What will happen after the man said, 'Nos va a cargar la super'?	He will try to make them work harder.	A. He will suggest they take a break., B. He will propose a team-building exercise., C. He will warn them about the challenges ahead., D. He will try to make them work harder., E. He will encourage them to relax and enjoy the moment.	D	Factual Prediction
0008	boss-employee/video_135.mp4	boss-employee/video_135	0008-1	Why did the female employee get angry at the customer?	Because he was filming her without permission.	A. Because he made inappropriate comments about her appearance., B. Because he was filming her without permission., C. Because he accidentally spilled coffee on her paperwork., D. Because he refused to follow the store's return policy., E. Because he was yelling loudly at her in front of others.	B	Intent Inference
0008	boss-employee/video_135.mp4	boss-employee/video_135	0008-2	Why ask customers to leave?	Because the customers are rude.	A. Because the store was closing., B. Because the customers are rude., C. Because the customers were too loud., D. Because there was a fire alarm., E. Because the customers were shopping too slowly.	B	Intent Inference
0008	boss-employee/video_135.mp4	boss-employee/video_135	0008-3	What does the male employee do when the customer becomes confrontational?	He asks the customer to leave the premises.	A. He turns away and ignores the customer., B. He calls security to handle the situation., C. He raises his voice to assert dominance., D. He puts his arm around the female employee., E. He asks the customer to leave the premises.	E	Attitude Inference
0008	boss-employee/video_135.mp4	boss-employee/video_135	0008-4	Which kind of relationship plays a dominant role in this video?	boss-employee	A. coach-player, B. boss-employee, C. couple, D. service, E. transactional, F. teacher-student, G. friends, H. sibling, I. grandparent-child, J. colleagues, K. caregiver-recipient, L. sports teammates, M. classmates, N. parent-child	B	Relation Inference
0009	boss-employee/video_62.mp4	boss-employee/video_62	0009-1	Why is the man with the glasses complaining about the spiky haired man?	He is not respecting the dining room.	A. He is taking up too much space at the table., B. He keeps making loud noises while eating., C. He is wearing a ridiculous outfit to dinner., D. He is not following the proper etiquette for serving food., E. He is not respecting the dining room.	E	Intent Inference
0009	boss-employee/video_62.mp4	boss-employee/video_62	0009-2	Which type of men do spiked-haired men prefer?	Blonde men	A. Brunette men, B. Bald men, C. Blonde men, D. Red-haired men, E. Gray-haired men	C	Factual Prediction
0009	boss-employee/video_62.mp4	boss-employee/video_62	0009-3	What will the blond man do if the other two do not cooperate?	Escalate the situation.	A. Ignore their presence., B. Suggest a different plan., C. Seek help from a third party., D. Leave the area immediately., E. Escalate the situation.	E	Factual Prediction
0009	boss-employee/video_62.mp4	boss-employee/video_62	0009-4	What facial expression does the man with spiky hair have when he is being addressed by the blond man?	Angry	A. Unimpressed, B. Excited, C. Surprised, D. Angry, E. Confused	D	Facial Expression Recognition
0009	boss-employee/video_62.mp4	boss-employee/video_62	0009-5	How would the blond man's tone of voice change if the other two were cooperating?	More relaxed.	A. More aggressive., B. Less engaging., C. More relaxed., D. More monotone., E. More hurried.	C	Counterfactual Prediction
0009	boss-employee/video_62.mp4	boss-employee/video_62	0009-6	Why does the blond man intervene in the conversation between the man with glasses and the spiky hair man?	To join in the argument	A. To change the topic, B. To join in the argument, C. To leave the conversation, D. To mediate the conflict, E. To express his own opinion	B	Intent Inference
0010	boss-employee/video_132.mp4	boss-employee/video_132	0010-1	What is likely to happen to the man labelled Van following the confrontation with Gordon Ramsey?	He will apologize.	A. He will challenge him again., B. He will walk away in anger., C. He will laugh off the incident., D. He will ignore what happened., E. He will apologize.	E	Factual Prediction
0010	boss-employee/video_132.mp4	boss-employee/video_132	0010-2	If the man labelled Van was the owner of the kitchen, how might Gordon Ramsey react?	Gordon Ramsey would be more deferential.	A. Gordon Ramsey would be more deferential., B. Gordon Ramsey would be completely dismissive., C. Gordon Ramsey would likely be overly critical., D. Gordon Ramsey would probably ignore him entirely., E. Gordon Ramsey would act with great hostility.	A	Environment Perception
0011	boss-employee/video_133.mp4	boss-employee/video_133	0011-1	Why does the owner fire the waitress?	The owner claims the waitress has an attitude.	A. The owner believes the waitress is not punctual., B. The owner insists the waitress often forgets orders., C. The owner says the waitress is too chatty with customers., D. The owner claims the waitress has an attitude., E. The owner thinks the waitress is not dressing appropriately.	D	Intent Inference
0011	boss-employee/video_133.mp4	boss-employee/video_133	0011-2	What is the likelihood of the business improving under this management?	Low.	A. High., B. Low., C. Uncertain., D. Moderate., E. Exceptional.	B	Attitude Inference
0012	boss-employee/video_133.mp4	boss-employee/video_133	0012-1	Why did the other waitresses eventually agree to the manager's swimsuit request?	They feared losing their jobs.	A. They wanted to impress the customers., B. They believed it would boost morale., C. They feared losing their jobs., D. They thought it was a fun team-building exercise., E. They were curious to try something new.	C	Intent Inference
0012	boss-employee/video_133.mp4	boss-employee/video_133	0012-2	What is likely to happen to the restaurant because of Suri's actions?	The manager could lose the investment deal.	A. The customers may stop coming altogether., B. The staff might be rewarded for their hard work., C. The restaurant could gain a five-star rating., D. The manager could lose the investment deal., E. The food prices may increase significantly.	D	Action Recognition
0012	boss-employee/video_133.mp4	boss-employee/video_133	0012-3	What expression do the girls have when the manager makes a request?	Embarrassed	A. Embarrassed, B. Confident, C. Joyful, D. Indifferent, E. Surprised	A	Facial Expression Recognition
0012	boss-employee/video_133.mp4	boss-employee/video_133	0012-4	What body language do the waitresses have when they are in the backroom? 	Reluctant and defeated.	A. Reluctant and defeated., B. Confident and energetic., C. Cheerful and engaging., D. Anxious and fidgety., E. Curious and attentive.	A	Factual Prediction
0013	boss-employee/video_127.mp4	boss-employee/video_127	0013-1	Why are the people wearing face masks that look similar?	To celebrate the man of the hour.	A. To protect themselves from the flu., B. To celebrate the man of the hour., C. To participate in a fashion trend contest., D. To signify their allegiance to a sports team., E. To hide their identities during a festival.	B	Intent Inference
0013	boss-employee/video_127.mp4	boss-employee/video_127	0013-2	Which kind of relationship plays a dominant role in this video?	boss-employee	A. couple, B. classmates, C. boss-employee, D. transactional, E. sports teammates, F. teacher-student, G. service, H. colleagues, I. grandparent-child, J. parent-child, K. caregiver-recipient, L. friends, M. sibling, N. coach-player	C	Relation Inference
0014	boss-employee/video_84.mp4	boss-employee/video_84	0014-1	What will Claire do when she is called?	Explain the job duties to the new assistant.	A. Take a break from work to relax., B. Review her personal emails and messages., C. Explain the job duties to the new assistant., D. Join her colleagues for lunch at a cafe., E. Prepare a presentation for an upcoming meeting.	C	Factual Prediction
0014	boss-employee/video_84.mp4	boss-employee/video_84	0014-2	What is the relationship between these two people?	A boss and an employee.	A. Friends, B. A boss and an employee., C. Family members, D. Business partners, E. Strangers	B	Environment Perception
0014	boss-employee/video_84.mp4	boss-employee/video_84	0014-3	How would you describe the man's facial expression when the woman is speaking?	Stern.	A. Joyful., B. Confused., C. Stern., D. Indifferent., E. Astonished.	C	Facial Expression Recognition
0015	boss-employee/video_109.mp4	boss-employee/video_109	0015-1	Why does the young woman pretend to be busy when she sees the older man?	To avoid being reprimanded or appearing unproductive.	A. To impress her friends with her work ethic., B. To distract him from his own tasks entirely., C. To make it easier to leave the conversation later., D. To avoid engaging in small talk with him., E. To avoid being reprimanded or appearing unproductive.	E	Intent Inference
0015	boss-employee/video_109.mp4	boss-employee/video_109	0015-2	Which kind of relationship plays a dominant role in this video?	boss-employee	A. sports teammates, B. transactional, C. friends, D. caregiver-recipient, E. classmates, F. colleagues, G. couple, H. service, I. parent-child, J. teacher-student, K. coach-player, L. sibling, M. grandparent-child, N. boss-employee	N	Relation Inference
0016	boss-employee/video_117.mp4	boss-employee/video_117	0016-1	Why does the woman say 'Being a woman in a workplace isn't always easy'?	She is addressing the double standard of her smelling him vs. him smelling her.	A. She is addressing the double standard of her smelling him vs. him smelling her., B. She is highlighting the challenges of balancing work and family responsibilities., C. She is expressing her frustration with the lack of opportunities for women in leadership roles., D. She is pointing out the unequal pay women often receive compared to their male counterparts., E. She is discussing the societal expectations placed on women in professional settings.	A	Intent Inference
0016	boss-employee/video_117.mp4	boss-employee/video_117	0016-2	How would the man's reaction change if the woman were a close friend?	He would be more receptive.	A. He would be indifferent., B. He would become defensive., C. He would avoid her entirely., D. He would express frustration., E. He would be more receptive.	E	Counterfactual Prediction
0016	boss-employee/video_117.mp4	boss-employee/video_117	0016-3	Why did the man cover up the family photo album in the end?	He wanted to pursue an improper relationship with the blonde woman.	A. He was embarrassed about the family's past., B. He wanted to protect the family secrets., C. He felt it was time to move on from old memories., D. He wanted to pursue an improper relationship with the blonde woman., E. He thought the album was too sentimental to keep.	D	Intent Inference
0016	boss-employee/video_117.mp4	boss-employee/video_117	0016-4	What is the man's facial expression when he is asked if he smelled the woman?	Confused.	A. Amused., B. Angry., C. Surprised., D. Confused., E. Indifferent.	D	Facial Expression Recognition
0017	boss-employee/video_120.mp4	boss-employee/video_120	0017-1	Why does the woman with blonde hair look at the camera after putting the item on the desk?	To acknowledge the comedic reveal of the item to the audience.	A. To express her surprise at finding the item unexpectedly., B. To ask for assistance with the item on the desk., C. To acknowledge the comedic reveal of the item to the audience., D. To signal her frustration about the situation., E. To show her satisfaction with the completion of a task.	C	Intent Inference
0017	boss-employee/video_120.mp4	boss-employee/video_120	0017-2	What is being discussed in the video?	Recreational vehicles	A. Recreational vehicles, B. Camping equipment, C. Luxury cars, D. Bicycles, E. Motorcycles	A	Factual Prediction
0017	boss-employee/video_120.mp4	boss-employee/video_120	0017-3	Which kind of relationship plays a dominant role in this video?	boss-employee	A. boss-employee, B. friends, C. couple, D. parent-child, E. coach-player, F. grandparent-child, G. sibling, H. colleagues, I. teacher-student, J. caregiver-recipient, K. classmates, L. service, M. transactional, N. teammates	A	Relation Inference
0018	boss-employee/video_125.mp4	boss-employee/video_125	0018-1	Why does a man in a suit put his hands in front of his head?	To get a better view and monitor staff.	A. To get a better view and monitor staff., B. To express his gratitude., C. To show his professional demeanor., D. To celebrate a corporate achievement., E. To signal the end of a meeting.	A	Intent Inference
0018	boss-employee/video_125.mp4	boss-employee/video_125	0018-2	Why did the person filming the video laugh in the end?	Because the boss kicked the chair to vent his anger but ended up hurting his foot, which was quite funny.	A. Because the boss kicked the chair to vent his anger but ended up hurting his foot, which was quite funny., B. Because the video captured a funny moment between colleagues., C. Because someone told a really good joke off-screen., D. Because the camera fell over and created a hilarious scene., E. Because the boss was dancing unexpectedly in the video.	A	Intent Inference
0018	boss-employee/video_125.mp4	boss-employee/video_125	0018-3	Which kind of relationship plays a dominant role in this video?	boss-employee	A. colleagues, B. service, C. parent-child, D. friends, E. transactional, F. classmates, G. caregiver-recipient, H. sibling, I. coach-player, J. sports teammates, K. couple, L. grandparent-child, M. teacher-student, N. boss-employee	N	Relation Inference
0019	boss-employee/video_62.mp4	boss-employee/video_62	0019-1	Why is the woman bringing up reaching KPIs in this context?	She wants to negotiate a raise or promotion.	A. She is trying to foster team spirit among her coworkers., B. She is interested in changing the company's operational strategy., C. She wants to negotiate a raise or promotion., D. She is concerned about the declining sales figures in her department., E. She is planning a team-building retreat for her colleagues.	C	Intent Inference
0019	boss-employee/video_62.mp4	boss-employee/video_62	0019-2	What is the relationship between the two people in the video?	The man is the woman's boss.	A. They are friends., B. The man is the woman's boss., C. They are siblings., D. They are coworkers., E. They are neighbors.	B	Attitude Inference
0019	boss-employee/video_62.mp4	boss-employee/video_62	0019-3	Why is the man not wearing shoes?	It's a privilege of leadership.	A. He forgot to put them on., B. It's too hot for shoes., C. He lost them on the way., D. It's a privilege of leadership., E. He prefers to go barefoot.	D	Intent Inference
0019	boss-employee/video_62.mp4	boss-employee/video_62	0019-4	What is likely to happen after the woman finishes her move?	The man will likely engage further with the woman's suggestive behavior.	A. The man will likely engage further with the woman's suggestive behavior., B. The woman will probably take a break to contemplate her next move., C. The man may choose to ignore her entirely and walk away., D. The couple might decide to switch to a different activity altogether., E. The woman is likely to receive applause from the onlookers.	A	Factual Prediction
0019	boss-employee/video_62.mp4	boss-employee/video_62	0019-5	How would the interaction change if the man were an older woman?	The engagement would probably remain strictly formal.	A. The interaction might result in a competitive dynamic., B. The engagement would probably remain strictly formal., C. The conversation could shift to superficial topics., D. The exchange may be viewed as a casual friendship., E. The interaction would likely be perceived as a mentor-mentee relationship.	B	Counterfactual Prediction
0020	boss-employee/video_64.mp4	boss-employee/video_64	0020-1	Why does the man make frequent appearances in different areas of the office?	To monitor employee activity.	A. To deliver important documents., B. To participate in social events., C. To conduct training sessions., D. To attend client meetings., E. To monitor employee activity.	E	Relation Inference
0020	boss-employee/video_64.mp4	boss-employee/video_64	0020-2	Which kind of relationship plays a dominant role in this video?	boss-employee	A. grandparent-child, B. sibling, C. sports teammates, D. boss-employee, E. friends, F. classmates, G. teacher-student, H. couple, I. service, J. parent-child, K. transactional, L. caregiver-recipient, M. colleagues, N. coach-player	D	Relation Inference
0021	boss-employee/video_126.mp4	boss-employee/video_126	0021-1	What will the man likely do after leaving the workstation?	He will search for someone with whom to speak.	A. He will head immediately to the cafeteria., B. He will search for someone with whom to speak., C. He will return to his desk to finish his work., D. He will take a break and go for a walk outside., E. He will organize his files and clean the workstation.	B	Factual Prediction
0021	boss-employee/video_126.mp4	boss-employee/video_126	0021-2	Which kind of relationship plays a dominant role in this video?	boss-employee	A. classmates, B. boss-employee, C. caregiver-recipient, D. coach-player, E. sibling, F. service, G. parent-child, H. couple, I. grandparent-child, J. sports teammates, K. teacher-student, L. colleagues, M. transactional, N. friends	B	Relation Inference
0022	boss-employee/video_129.mp4	boss-employee/video_129	0022-1	Why does the person inside the office not immediately acknowledge the individuals trying to get his attention?	He is occupied with a phone call and holding a laptop.	A. He is deeply focused on completing a detailed report., B. He is occupied with a phone call and holding a laptop., C. He has a meeting scheduled and is reviewing his notes., D. He is waiting for an important email to arrive., E. He is organizing files and does not want to be interrupted.	B	Factual Prediction
0022	boss-employee/video_129.mp4	boss-employee/video_129	0022-2	What is the person inside the office likely to do once he finishes his phone call?	Acknowledge the group's requests.	A. Leave the office for a break., B. Start a new phone conversation., C. Acknowledge the group's requests., D. Review the budget proposal., E. Ignore the group's concerns.	C	Counterfactual Prediction
0022	boss-employee/video_129.mp4	boss-employee/video_129	0022-3	What is everyone doing by sticking things on the window in the video?	Seeking help from the boss	A. Decorating the window, B. Taking a break, C. Announcing an event, D. Measuring the sunlight, E. Seeking help from the boss	E	Action Recognition
0022	boss-employee/video_129.mp4	boss-employee/video_129	0022-4	How does the person in the green sweatshirt seek assistance from the boss?	They pointed to their phone, possibly indicating a message or call that needs the boss's help.	A. They sent a text message directly to the boss., B. They walked over to the boss to ask for help in person., C. They pointed to their phone, possibly indicating a message or call that needs the boss's help., D. They raised their hand to get the boss's attention., E. They placed the phone on the table, signaling for a discussion.	C	Human Attribute Identification
0023	boss-employee/video_134.mp4	boss-employee/video_134	0023-1	What is likely to happen after the mother locks up Lisa's tools?	Lisa will likely look for those tools.	A. Lisa will feel relieved and stop working., B. Lisa will likely look for those tools., C. Lisa will forget about the tools entirely., D. The mother will start using the tools herself., E. Lisa will ask her friends for help with their tools.	B	Factual Prediction
0023	boss-employee/video_134.mp4	boss-employee/video_134	0023-2	How might Lisa's conversation with Dr. Twardon change if they had a hostile relationship?	The conversation would be shorter and more formal.	A. The conversation would be shorter and more formal., B. The conversation would include personal anecdotes and be more relaxed., C. The conversation would be filled with laughter and camaraderie., D. The conversation would evolve into a friendly debate about their views., E. The conversation would extend to discussing hobbies and mutual interests.	A	Environment Perception
0023	boss-employee/video_134.mp4	boss-employee/video_134	0023-3	What is the woman in the pink dress afraid of?	She fears that the arguing couple might take extreme actions.	A. She is afraid of being judged by the couple., B. She fears that the arguing couple might take extreme actions., C. She fears that someone will steal her belongings., D. She is worried about being late for an appointment., E. She fears the weather will turn bad.	B	Attitude Inference
0023	boss-employee/video_134.mp4	boss-employee/video_134	0023-4	How does the woman in the white shirt appear when typing while restrained?	She seems disengaged and indifferent.	A. She looks relaxed and focused., B. She appears cheerful and at ease., C. She seems disengaged and indifferent., D. She seems strained and uncomfortable., E. She looks calm and confident.	C	Factual Prediction
0023	boss-employee/video_134.mp4	boss-employee/video_134	0023-5	What is the demeanor of the woman in the purple bathrobe when she says 'Boy, I hated that job!'?	She is nervous and insecure.	A. She is sarcastic and angry., B. She is cheerful and optimistic., C. She is nervous and insecure., D. She is indifferent and apathetic., E. She is joyful and amused.	C	Factual Prediction
0024	boss-employee/video_19.mp4	boss-employee/video_19	0024-1	Why does the woman look concerned after the man mentions his house?	Because she believes they're in danger.	A. Because she thinks he needs help with repairs., B. Because she believes he's moved away., C. Because she feels he owes her money., D. Because she believes they're in danger., E. Because she suspects he has lost his job.	D	Relation Inference
0024	boss-employee/video_19.mp4	boss-employee/video_19	0024-2	Why are the three men on the left side of the scene dressed so oddly?	They are afraid of getting hurt.	A. They are trying to make a fashion statement., B. They are dressed for a performance., C. They are afraid of getting hurt., D. They are following a new trend., E. They are protesting against something.	C	Counterfactual Prediction
0024	boss-employee/video_19.mp4	boss-employee/video_19	0024-3	What is the facial expression of the woman when she is being presented with a red bag?	She looks angry.	A. She appears delighted., B. She seems confused., C. She looks unimpressed., D. She looks angry., E. She expresses joy.	D	Attitude Inference
0024	boss-employee/video_19.mp4	boss-employee/video_19	0024-4	Which kind of relationship plays a dominant role in this video?	boss-employee	A. sports teammates, B. service, C. coach-player, D. boss-employee, E. couple, F. friends, G. transactional, H. grandparent-child, I. caregiver-recipient, J. sibling, K. classmates, L. teacher-student, M. parent-child, N. colleagues	D	Relation Inference
0025	boss-employee/video_103.mp4	boss-employee/video_103	0025-1	What is the woman going to do next?	Enter the bank to negotiate.	A. Walk to her car and drive away., B. Enter the bank to negotiate., C. Meet a friend for coffee at a café., D. Check her shopping list for groceries., E. Visit the library to read a book.	B	Factual Prediction
0026	boss-employee/video_104.mp4	boss-employee/video_104	0026-1	What will most likely happen after the woman finds out about a second meeting?	She will try to avoid the second meeting.	A. She will eagerly attend the second meeting., B. She will try to avoid the second meeting., C. She will not be interested in what happens next., D. She will share the news with her colleagues., E. She will quickly forget about the second meeting.	B	Factual Prediction
0026	boss-employee/video_104.mp4	boss-employee/video_104	0026-2	If the woman had replied with disinterest, how would the men's reactions change?	They would be disappointed.	A. They would be disappointed., B. They would be elated., C. They would become indifferent., D. They would immediately leave., E. They would start arguing.	A	Counterfactual Prediction
0026	boss-employee/video_104.mp4	boss-employee/video_104	0026-3	Why do some people express regret when they learn the email is from a blind date match?	They thought it was a rejection reply.	A. They expected a positive response., B. They were surprised by the message., C. They thought it was a rejection reply., D. They felt it was a scam., E. They hoped for a different outcome.	C	Intent Inference
0026	boss-employee/video_104.mp4	boss-employee/video_104	0026-4	What is the tone of voice of the woman when she receives the email about scheduling another meeting?	Nervous and hesitant.	A. Excited and enthusiastic., B. Nervous and hesitant., C. Sarcastic and resigned., D. Calm and indifferent., E. Joyful and optimistic.	B	Environment Perception
0026	boss-employee/video_104.mp4	boss-employee/video_104	0026-5	Why does the woman have a negative reaction to the email response?	She was confused by the message.	A. She found the email too formal., B. She didn't want to see that person., C. She didn't agree with the proposal., D. She expected a different outcome., E. She was confused by the message.	E	Intent Inference
0026	boss-employee/video_104.mp4	boss-employee/video_104	0026-6	Which kind of relationship plays a dominant role in this video?	boss-employee	A. grandparent-child, B. caregiver-recipient, C. colleagues, D. friends, E. boss-employee, F. classmates, G. service, H. sibling, I. couple, J. parent-child, K. sports teammates, L. coach-player, M. transactional, N. teacher-student	E	Relation Inference
0027	boss-employee/video_84.mp4	boss-employee/video_84	0027-1	How would the interaction change if the woman was less strict?	The interaction would be more relaxed.	A. The interaction would be more chaotic., B. The interaction would be more relaxed., C. The interaction would be less meaningful., D. The interaction would involve more conflict., E. The interaction would become increasingly tense.	B	Counterfactual Prediction
0027	boss-employee/video_84.mp4	boss-employee/video_84	0027-2	How many women are in the video?	2	A. 2, B. 3, C. 1, D. 4, E. 5	A	Attitude Inference
0027	boss-employee/video_84.mp4	boss-employee/video_84	0027-3	What reaction does the man with glasses show when he says 'fusafusa da'?	Frustration.	A. Frustration., B. Confusion., C. Anger., D. Satisfaction., E. Disappointment.	A	Action Recognition
